자치구,브랜드,지점명,소재지,latitude,longitude
구로구,미니스톱,구로지플러스점,서울특별시 구로구 구로동(구로3동) 1128-3,37.485221,126.900482
구로구,미니스톱,구로빌란트점,서울특별시 구로구 구로동(구로3동) 222-8,37.4850442,126.8948988
구로구,미니스톱,구로하이엔드점,서울특별시 구로구 구로동(구로3동) 235-2,37.4850442,126.8948988
구로구,미니스톱,구일역점,"서울 구로구 구일로10길 49 (구로동, 다원그린빌)102-2호",37.49576589999999,126.8744467
구로구,세븐일레븐,고척푸르지오점,고척동339-1,37.5070897,126.8595255
구로구,세븐일레븐,세븐일레븐 고척청마루점,서울시 구로구 중앙로 14길 31,37.5076151,126.8631189
구로구,세븐일레븐,세븐일레븐 구일역점,서울시 구로구 구일로 110,37.4950571,126.8720069
금천,CU,가산원룸점,서울특별시 금천구 시흥대로153길 42 (가산동),37.4771949,126.8960499
금천,CU,독산시장점,서울특별시 금천구 시흥대로138길 13 (독산동) ,37.4728646,126.8993992
금천,CU,시흥금빛점,서울특별시 금천구 금하로 657 (시흥동),37.4536416,126.9040119
금천,CU,독산AK점,서울특별시 금천구 독산로72길 50 (독산동),37.4683368,126.904554
금천,GS25,금천금하로,서울특별시 금천구 독산로29길 13,37.4560484,126.9047236
금천,GS25,금천왕창,서울특별시 금천구 독산로106길 19,37.4780541,126.9049335
금천,GS25,금천유진,서울특별시 금천구 가산로5길 66,37.4737318,126.8909874
금천,GS25,금천중앙,서울특별시 금천구 시흥대로 406,37.4696944,126.8983932
금천,GS25,금천태양,서울특별시 금천구 시흥대로141길 47 (독산동),37.4749615,126.8975153
금천,GS25,독산우림,서울특별시 금천구 가산디지털1로 2,37.4668304,126.8883257
금천,GS25,독산우정,서울특별시 금천구 독산로75길 34,37.4692636,126.9005597
금천,GS25,시흥별장,서울특별시 금천구 금하로24가길 4,37.4490861,126.9087044
금천,미니스톱,가산하이엔드점,서울특별시 금천구 벚꽃로 234 (가산동),37.475995,126.8861007
영등포구,CU,당산중앙점,서울특별시 영등포구 당산동6가 324-5번지,37.5355862,126.9024696
영등포구,CU,대림디지털,서울시 영등포구 대림1동 868-15,37.4937481,126.905172
영등포구,CU,문래한신점,서울특별시 영등포구 문래동3가77-2번지 문래공원한신아파트,37.5175671,126.8929792
영등포구,CU,선유도역점,서울특별시 영등포구 양평동5가 106-1번지,37.5399845,126.8942875
영등포구,CU,신길오피스점,서울특별시 영등포구 영등포동1가54번지,37.5173722,126.9132097
영등포구,CU,여의도솔로몬점,서울특별시 영등포구 여의도동 44-5번지 솔로몬투자증권,37.5206051,126.930449
영등포구,CU,여의도아이비점,서울특별시 영등포구 여의도동 43-4번지 롯데캐슬아이비,37.5200722,126.9318875
영등포구,CU,여의동산점,서울특별시 영등포구 여의도동41-2번지 대교상가 비-,37.5210888,126.9343245
영등포구,GS25,당산양남점,서울 영등포구 선유동1로 12-1(당산동2가 111),37.5232014,126.8918577
영등포구,GS25,대림본점,서울 영등포구 디지털로54가길 2(대림2동 1024-11),37.4888038,126.9029841
영등포구,GS25,대림성모,서울 영등포구 대림동 962-4 제3호,37.4910177,126.9075851
영등포구,GS25,대림역, 대림로29길 43 (대림3동 808-26),37.493792,126.8954739
영등포구,GS25,대림으뜸,서울 영등포구 대림3동 710,37.4944808,126.8983162
영등포구,GS25,동여의,서울 영등포구 여의도동 45-13외1필지포레스텔빌딩101,37.5200952,126.928809
영등포구,GS25,문래LG,서울 영등포구 문래동3가 55-5,37.517427,126.8964674
영등포구,GS25,문래공원점,서울 영등포구 도림로 441-1 (문래동2가 15-1),37.51443750000001,126.8938421
영등포구,GS25,문래에이스점,"서울 영등포구 경인로 775, 112호 (문래동3가 55-20, 에이스하이테크시티)",37.5147541,126.8989475
영등포구,GS25,신길역,서울 영등포구 경인로114가길 4 (영등포동1가 79-1),37.5181561,126.9140039
영등포구,GS25,양평보보점,"서울 영등포구 양산로7길 3, 105호 (양평동3가 17-1, 우림보보카운티오피스텔)",37.5257847,126.8871609
영등포구,GS25,양평중앙,서울 영등포구 양평동4가 161-6,37.5372647,126.8971251
영등포구,GS25,"한강양화2호점
(구.양화무궁화점)",서울 영등포구 양화동 32-2번지,37.54500280000001,126.8948508
영등포구,GS25,"한강양화1호점
(구.양화진달래점)",서울 영등포구 양화동 100-2번지,37.547998,126.8890757
영등포구,GS25,여의타워,서울 영등포구 여의도동 61-5리버타워102,37.5194099,126.9386263
영등포구,GS25,영동초교,서울 영등포구 영등포동8가 48-1 1층,37.5271498,126.9064012
영등포구,GS25,영등포경남,서울 영등포구 영등포동7가 69-9,37.5242531,126.9047258
영등포구,GS25,영등포로타리,서울 영등포구 영등포동4가 65-3번지,37.5190884,126.9049974
영등포구,미니스톱,대림두암점,대림로29길 24(대림3동),37.4950313,126.8968885
영등포구,미니스톱,신길대신점,도신로60길 2(신길1동),37.5117865,126.9168026
영등포구,미니스톱,신길점,도림로 322(신길3동),37.5063896,126.9019089
영등포구,미니스톱,여의IFC점,국제금융로2길 7(여의도동),37.5245965,126.9268778
영등포구,세븐일레븐,세븐일레븐 당산역본점,서울시 영등포구 당산동6가 306-1 그린빌 101호,37.5349234,126.9022436
영등포구,세븐일레븐,세븐일레븐 대방역점,서울시 영등포구 신길도 1300 정오빌딩 1층 9호,37.5326488,126.9048943
영등포구,GS25,GS타임스퀘어점,영등포구 영중로 15,37.5172832,126.9035233
동작구,GS25,사당남사,동작구 동작대로17길10(사당동1005-54),37.4828665,126.9807855
동작구,미니스톱,사당점,동작구 사당동 1030-10,37.4799978,126.9808647
동작구,CU,사당태양점,동작구 사당동 71-1번지,37.4909808,126.9810844
동작구,GS25,사당이화,"동작구 동작대로35길18, 1층(사당동39-18)",37.4911002,126.981385
동작구,세븐일레븐,사당동작점,동작구 사당동 67-6,37.4922679,126.9792735
동작구,세븐일레븐,동작남성점,동작구 사당로23길 2  1층(사당동),37.4841916,126.977415
동작구,세븐일레븐,롯데캐슬점,동작구 사당동 1132,37.4907769,126.9725122
동작구,세븐일레븐,사당6호점,동작구 사당동 202-28,37.48779210000001,126.9648595
동작구,씨스페이스,흑석중앙대점,동작구 흑석동 52-1,37.50772070000001,126.9632993
동작구,CU,노량진초교점,동작구 노량진동 50-2,37.5121237,126.9404804
동작구,CU,노량진중심점,동작구 노량진동 231-112,37.5084557,126.9403176
동작구,CU,동작구청2호점,동작구 노량진동 244-12,37.5118702,126.938977
동작구,CU,동작구청점,동작구 노량진동 244-67,37.5122306,126.9382522
동작구,세븐일레븐,노량진역점,동작구 노량진동 71-4 이데아빌딩1층,37.51342959999999,126.9421412
동작구,CU,상도삼성점,동작구 상도동 450번지 래미안1차@ 상가동,37.5047902,126.9339855
동작구,CU,상도약수점,동작구 상도동 211-225,37.49905529999999,126.9443183
동작구,세븐일레븐,리버파크점,동작구 노량진동 201.202호,37.5116108,126.9418959
동작구,세븐일레븐,상도한마을점,동작구 상도동 312,37.4989432,126.932392
동작구,CU,사당갯마을점,동작구 동작동 102-31 환빌딩B,37.4964043,126.9823164
동작구,CU,신대방사랑점,동작구 신대방동 360-115,37.496885,126.9255961
동작구,GS25,동작우체국,동작구 여의대방로22길 78,37.497698,126.9243173
동작구,GS25,동작역점,"동작구 현충로257,431-02호
(동작동327-1)",37.5019929,126.9801888
동작구,미니스톱,대방점,동작구 대방동 393-65,37.5000024,126.9282619
동작구,미니스톱,보라매점역,동작구 대방동 400-3,37.4994765,126.920655
동작구,세븐일레븐,대방점,동작구 대방동 37-2,37.5117555,126.9317321
동작구,세븐일레븐,보라매점,동작구 신대방동 395-69 아카데미1층,37.4913311,126.924105
동작구,세븐일레븐,대방성남점,동작구 대방동 376-5,37.5044467,126.9251509
동작구,CU,상도역점,동작구 상도동 705번지,37.4987343,126.9440592
동작구,세븐일레븐,신대방삼거리점,동작구 대방동 405-11 코스모빌딩104,37.4994648,126.9279007
동작구,세븐일레븐,동작대리점,동작구 상도동 509-2,37.4945613,126.960552
동작구,세븐일레븐,사당남성점,동작구 사당동 272-38,37.4829139,126.9710631
관악구,CU,관악낙성점,솔밭로 5,,
관악구,CU,관악리베로점,봉천로4길 58,37.4871894,126.9243793
관악구,CU,관악미림점,호암로20길 1,37.46779069999999,126.9321719
관악구,CU,관악브라운점,관악로29길 6-14,37.4870323,126.956867
관악구,CU,관악샛별점,조원로 87,37.4846013,126.9119477
관악구,CU,관악에스식스점,양지5길 2,37.4715709,126.9312448
관악구,CU,관악진우점,남부순환로 1536,37.482774,126.9213177
관악구,CU,낙성대역점,봉천로 604-1,37.4758783,126.9642536
관악구,CU,서림태양점,쑥고개로 1564-55,37.4786317,126.9437736
관악구,GS25,관악봉천,관악로17길 25,37.48072459999999,126.9502733
관악구,GS25,관악세봉,관악로 125 상가 101호,37.4761517,126.9520785
관악구,GS25,관악원앙,남부순환로 218길 46,37.4793694,126.9500403
관악구,GS25,관악푸르지오,관악로30길 17,37.4865381,126.9589707
관악구,GS25,관악한일,승방2길 2,37.4739831,126.9813371
관악구,GS25,관악행운,남부순환로245길 9,37.4772147,126.9650441
관악구,GS25,남현번영,승방4길 27,37.4748957,126.9804379
관악구,GS25,봉천동부,은천로 143,37.4866027,126.9513353
관악구,GS25,봉천동신,봉천로21나길 35 1층,37.4888662,126.9361919
관악구,GS25,봉천번영,관악로14가길 45,37.47643559999999,126.9555549
관악구,GS25,뉴신림로데오,봉천로6길 30,37.4883254,126.9254702
관악구,GS25,신림성화,남부순환로 1578,37.4835221,126.9259171
관악구,GS25,신림왕성,신림로 304,37.4813637,126.9302305
관악구,GS25,인헌마루,인헌길 141,37.46957440000001,126.9686215
관악구,GS25,난곡로점,난곡로 288,37.4796586,126.9151723
관악구,미니스톱,봉천남부점,남부순환로 1716,37.4825304,126.9405866
관악구,미니스톱,신림본점,신림로 270,37.4790037,126.932176
관악구,미니스톱,관악정옥점,관악로 15길 39,37.48031840000001,126.9501562
관악구,미니스톱,신림양지점,신림로68길 10,37.4864386,126.929914
관악구,미니스톱,신대방역점,난곡로 348,37.4850577,126.9141078
관악구,미니스톱,보라매점,봉천로 214,37.489643,126.9252617
관악구,세븐일레븐,관악구청점 B,관악로 154,37.4789349,126.9526398
관악구,세븐일레븐,봉천1호점,남부순환로 1766,37.4816914,126.9460954
관악구,세븐일레븐,봉천해주점,봉천로 466,37.4819698,126.9516155
관악구,세븐일레븐,서울대동아점,관악로 167,37.4802911,126.9522371
관악구,세븐일레븐,서울대서진점,관악로17길 3,37.48064189999999,126.9515277
관악구,세븐일레븐,신림점 B,호암로24길 6,37.4699025,126.9335554
관악구,세븐일레븐,신사시장점  ,남부순환로 153길 35,37.4840641,126.916313
관악구,세븐일레븐,은천점,봉천로 335 ,37.48527869999999,126.9379659
관악구,세븐일레븐,세븐일레븐 신림녹두점,신림로97 가동,37.4702245,126.9385965
관악구,세븐일레븐,세븐일레븐 신림문화점,신림동길 15,37.4871359,126.9270388
관악구,씨스페이스,구로공단점,조원로 6,37.4833762,126.9027236
서초구,CU,서초염곡점(내곡),서울특별시 서초구 염곡동 106-7번지,37.4620393,127.0522475
서초구,CU, 반포중앙점(반포1동),서초구 사평대로53길 27,37.5054496,127.0213603
서초구,세븐일레븐,반포공원점(반포1동),서초구 사평대로55길 123,37.50923119999999,127.0203432
