소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,설치연도,구
서울특별시 성북구 오패산로19길 34,서울특별시 성북구 하월곡동 81-277,37.60940809,127.0339765,2016,성북구
서울특별시 성북구 화랑로5길 42,서울특별시 성북구 하월곡동 51-23,37.60441797,127.0394781,2016,성북구
서울특별시 성북구 장월로1라길 3,서울특별시 성북구 상월곡동 75-37,37.60494992,127.0435598,2016,성북구
서울특별시 성북구 회기로5길 100,서울특별시 성북구 하월곡동 224,37.59621119,127.0411043,2016,성북구
서울특별시 성북구 월곡로18가길 32,서울특별시 성북구 하월곡동 15-6,37.60292102,127.0433276,2016,성북구
서울특별시 성북구 장월로1마길 36,서울특별시 성북구 상월곡동 78-2,37.6058655,127.0430892,2016,성북구
서울특별시 성북구 장위동 182-4,서울특별시 성북구 장위동 182-4,37.61987558,127.0484941,2016,성북구
서울특별시 성북구 장위로26길 23,서울특별시 성북구 장위동 233-127,37.6128062,127.0457209,2016,성북구
서울특별시 성북구 장위로17길 20,서울특별시 성북구 장위동 230-136,37.6149068,127.0422926,2016,성북구
서울특별시 성북구 돌곶이로41가길 13,서울특별시 성북구 장위동 219-422,37.61838175,127.0451081,2016,성북구
서울특별시 성북구 돌곶이로22길 79,서울특별시 성북구 석관동 124-16,37.61106471,127.0621603,2018,성북구
서울특별시 성북구 길음로 118,서울특별시 성북구 길음동 1281,37.61132431,127.0208485,2018,성북구
서울특별시 성북구 삼양로 15-1,서울특별시 성북구 길음동 1257-3,37.60458416,127.0247197,2018,성북구
서울특별시 성북구 오패산로13길 5-6,서울특별시 성북구 하월곡동 70-130,37.60699951,127.0360366,2018,성북구
서울특별시 성북구 종암로24길 8-8,서울특별시 성북구 종암동 3-388,37.60028939,127.034526,2018,성북구
서울특별시 성북구 돌곶이로25길 58,서울특별시 성북구 장위동 66-227,37.6102401,127.0533641,2018,성북구
서울특별시 성북구 장위로30길 14,서울특별시 성북구 장위동 233-91,37.61321962,127.0471437,2010,성북구
서울특별시 성북구 보문로34나길 30,서울특별시 성북구 동선동3가 212-2,37.59264139,127.0207391,2019,성북구
서울특별시 성북구 동소문로23길 73,서울특별시 성북구 동선동5가 141-6,37.59639389,127.0157876,2019,성북구
서울특별시 성북구 동소문로26마길 16,서울특별시 성북구 동선동3가 251-7,37.59449364,127.0213511,2019,성북구
서울특별시 성북구 아리랑로6가길 30,서울특별시 성북구 동선동5가 171-3,37.59784996,127.0152101,2019,성북구
서울특별시 성북구 종암로19길 121-9,서울특별시 성북구 종암동 125-221,37.59893582,127.0288618,2019,성북구
서울특별시 성북구 종암동 3-352,서울특별시 성북구 종암동 3-352,37.59829599,127.038577,2019,성북구
서울특별시 성북구 종암동 134-4,서울특별시 성북구 종암동 134-4,37.59963537,127.0376512,2019,성북구
