사업장명,소재지전체주소,도로명전체주소,주소,latitude,longitude,구
슈퍼스타,서울특별시 성북구 동선동1가 4-10,"서울특별시 성북구 동소문로20길 29-7, 지하층 (동선동1가)",서울특별시 성북구 동선동1가 4-10,37.5306912,126.991599,성북구
쎄시봉7080,서울특별시 성북구 동선동1가 94번지,"서울특별시 성북구 동소문로20가길 28, 지하1층 (동선동1가)",서울특별시 성북구 동선동1가 94,37.5341803,127.0057569,성북구
귀족,서울특별시 서대문구 창천동 72-5 (지하1층),"서울특별시 서대문구 연세로5다길 5 (창천동,(지하1층))",서울특별시 서대문구 창천동 72-5,37.5206985,126.967758,서대문구
뉴욕메들리,서울특별시 서대문구 홍제동 139-3,서울특별시 서대문구 통일로 408 (홍제동),서울특별시 서대문구 홍제동 139-3,37.5336496,126.9954239,서대문구
아마죤,서울특별시 서대문구 북아현동 126-44,서울특별시 서대문구 신촌로 283 (북아현동),서울특별시 서대문구 북아현동 126-44,37.5343414,127.0061941,서대문구
야간열차,서울특별시 서대문구 북아현동 221-13,서울특별시 서대문구 신촌로 227 (북아현동),서울특별시 서대문구 북아현동 221-13,37.534209,126.9735422,서대문구
칵테일바,서울특별시 서대문구 홍은동 201-1번지,서울특별시 서대문구 연희로 353 (홍은동),서울특별시 서대문구 홍은동 201-1,37.5336004,127.0071001,서대문구
청춘,서울특별시 서대문구 홍은동 275-7번지,"서울특별시 서대문구 연희로 261, 지층 (홍은동)",서울특별시 서대문구 홍은동 275-7,37.4549851,126.9012409,서대문구
금화,서울특별시 성북구 보문동4가 90-2번지,서울특별시 성북구 보문로 68 (보문동4가),서울특별시 성북구 보문동4가 90-2,37.4850285,127.0319988,성북구
7080 가수지연의 라이브,서울특별시 성북구 삼선동5가 298-1,서울특별시 성북구 보문로 175 (삼선동5가),서울특별시 성북구 삼선동5가 298-1,37.521454,126.925069,성북구
개코노래타운,서울특별시 성북구 동선동1가 2-3,서울특별시 성북구 동소문로20가길 14 (동선동1가),서울특별시 성북구 동선동1가 2-3,37.5276435,126.999336,성북구
로즈,서울특별시 서대문구 창천동 29-61,서울특별시 서대문구 연세로2길 19 (창천동),서울특별시 서대문구 창천동 29-61,37.5354232,126.9607593,서대문구
만남의광장,서울특별시 성북구 삼선동4가 343,서울특별시 성북구 보문로 189 (삼선동4가),서울특별시 성북구 삼선동4가 343,37.5349544,126.9947692,성북구
무학성,"서울특별시 성북구 장위동 64-123번지 ,124,128","서울특별시 성북구 돌곶이로 91 (장위동,,124,128)",서울특별시 성북구 장위동 64-123,37.5371421,126.9607225,성북구
황금매들리,"서울특별시 서대문구 북가좌동 300-14 ,15,16","서울특별시 서대문구 응암로 78 (북가좌동,,15,16)",서울특별시 서대문구 북가좌동 300-14,37.5519336,126.9632195,서대문구
시간여행,서울특별시 서대문구 남가좌동 328-29번지,서울특별시 서대문구 증가로 104 (남가좌동),서울특별시 서대문구 남가좌동 328-29,37.5395433,126.9978136,서대문구
뿌요뿌요,서울특별시 성북구 종암동 3-680번지,서울특별시 성북구 종암로21길 71 (종암동),서울특별시 성북구 종암동 3-680,37.5198527,126.9699157,성북구
대명,서울특별시 성북구 보문동4가 88-0번지,서울특별시 성북구 보문로 70 (보문동4가),서울특별시 성북구 보문동4가 88-0,37.5337069,126.972683,성북구
블랙앤화이트,"서울특별시 성북구 삼선동5가 324번지 ,325","서울특별시 성북구 보문로 156-2 (삼선동5가,,325)",서울특별시 성북구 삼선동5가 324,37.5447168,126.969914,성북구
우미가라오케,서울특별시 용산구 이태원동 36-25번지 지하1층호,서울특별시 용산구 녹사평대로26길 18 (이태원동),서울특별시 용산구 이태원동 36-25,37.5341507,127.0099022,용산구
슈라이브,서울특별시 용산구 한남동 657-70번지 지하1층,"서울특별시 용산구 대사관로31길 19 (한남동, 657-70 지하1층)",서울특별시 용산구 한남동 657-70,37.5319323,126.970931,용산구
보스톤,서울특별시 용산구 이촌동 302-65번지,"서울특별시 용산구 이촌로54길 13 (이촌동, 302-65 지상2층)",서울특별시 용산구 이촌동 302-65,37.5353852,126.9606844,용산구
왕소라,서울특별시 용산구 이태원동 132-4 (지하1층),"서울특별시 용산구 우사단로 37 (이태원동,(지하1층))",서울특별시 용산구 이태원동 132-4,37.5414131,126.9733312,용산구
맘마미아,서울특별시 용산구 한남동 657-201 지하,"서울특별시 용산구 한남대로21길 14 (한남동,지하)",서울특별시 용산구 한남동 657-201,37.5338736,127.0059751,용산구
탈렌트,서울특별시 용산구 한강로1가 231-25번지 지하1층,"서울특별시 용산구 한강대로62길 16 (한강로1가, 지하1층)",서울특별시 용산구 한강로1가 231-25,37.5332514,127.004719,용산구
한,서울특별시 용산구 한남동 76-22,"서울특별시 용산구 한남대로 55 (한남동, 76-22 지하1층)",서울특별시 용산구 한남동 76-22,37.5449092,126.972399,용산구
아리조나,서울특별시 금천구 시흥동 882-58,"서울특별시 금천구 금하로 631, 지하1층 (시흥동)",서울특별시 금천구 시흥동 882-58,37.5251028,126.9632629,금천구
피닉스(Phoenix),서울특별시 서초구 서초동 1363-5 지하1층,"서울특별시 서초구 강남대로37길 28, 지하1층 (서초동)",서울특별시 서초구 서초동 1363-5,37.5416695,126.9732045,서초구
무지개주점,"서울특별시 영등포구 여의도동 35-5번지 여의도종합상가(219,220호)","서울특별시 영등포구 여의나루로 42, 여의도종합상가 219,220호 (여의도동)",서울특별시 영등포구 여의도동 35-5,37.5454821,126.9723012,영등포구
체리바,서울특별시 용산구 보광동 260-13번지 (지하1층),"서울특별시 용산구 보광로 39 (보광동,(지하1층))",서울특별시 용산구 보광동 260-13,37.53752790000001,127.0051334,용산구
